Campaign_ID,Influencer_Name,Platform,Campaign_Type,Start_Date,End_Date,Budget_USD,Reach,Impressions,Engagement_Rate,Click_Through_Rate,Conversions,ROI,Region
CM4044,Influencer_Mia,INSTAGRAM,Giveaway,2024-11-02,2024-10-26,2667.0,210611,224299,9.43,3.56,18,58.91,Europe
CM1712,Influencer_Zane,Instagram,Product Launch,2024-07-08,2024-07-11,2061.0,223261,333421,2.02,11.3,996,5.27,Europe
CM3294,Influencer_Mia,INSTAGRAM,Brand Awareness,2024-12-20,2025-01-03,2202.0,721658,893104,5.91,3.8,820,42.2,Europe
CM572,Influencer_Ethan,X,Affiliate,2024-07-30,2024-07-25,2207.0,646261,775173,7.9,11.37,381,,North America
CM4831,Influencer_Olivia,instagram,Brand Awareness,2024-04-20,2024-04-10,5814.0,820746,844455,0.77,0.74,516,11.56,Middle East
CM1680,Influencer_Zane,TikTok,Product Launch,2024-08-29,2024-09-08,9526.0,493426,691322,9.68,5.43,15,45.59,North America
CM1069,Influencer_Aarav,INSTAGRAM,Product Launch,2024-06-09,2024-06-13,2050.0,855194,898642,7.92,12.42,568,0.46,India
CM2324,Influencer_Aarav,INSTAGRAM,Brand Awareness,2024-01-20,2024-01-24,5109.0,442317,506435,2.91,7.59,434,6.52,Europe
CM3981,Influencer_Aarav,TikTok,Affiliate,2024-10-29,2024-10-25,1687.0,920428,1081664,6.86,14.52,579,-2.64,Europe
CM4491,Influencer_Noah,Instagram,Brand Awareness,2024-05-14,2024-05-25,8199.0,232602,381045,9.59,1.15,202,55.54,Europe
CM851,Influencer_Mia,Facebook,Brand Awareness,2024-07-06,2024-07-08,4936.0,493807,550852,8.59,9.84,453,47.45,Europe
CM4511,Influencer_Zane,X,Product Launch,2024-06-05,2024-06-11,5396.0,365630,462189,,10.94,781,22.77,North America
CM834,Influencer_Olivia,TikTok,Affiliate,2024-04-24,2024-04-27,1213.0,416673,601434,7.39,12.73,636,23.32,Europe
CM863,Influencer_Ava,Facebook,Brand Awareness,2024-05-12,2024-05-14,,34512,129938,0.71,2.98,106,22.62,SEA
CM4035,Influencer_Mia,instagram,Product Launch,2024-04-02,2024-04-15,2705.0,466075,516041,9.09,2.43,323,47.56,North America
CM5047,Influencer_Olivia,TikTok,Giveaway,2024-12-27,2024-12-23,2139.0,172066,362357,7.44,10.11,402,17.22,SEA
CM1226,Influencer_Noah,Instagram,Affiliate,2024-12-29,2024-12-28,6709.0,208531,354210,2.84,1.3,761,43.73,SEA
CM3680,Influencer_Aarav,Instagram,Product Launch,2024-12-27,2025-01-01,1377.0,181940,268583,4.98,4.81,563,21.68,Europe
CM4080,Influencer_Ava,X,Affiliate,2024-09-01,2024-09-06,2913.0,271192,396612,1.99,14.4,414,19.01,SEA
CM4686,Influencer_Zane,Instagram,Giveaway,2024-05-28,2024-05-24,7747.0,235267,237011,2.78,6.43,622,-1.7,Europe
CM3386,Influencer_Sophia,INSTAGRAM,Affiliate,2024-09-15,2024-09-23,4363.0,293381,326361,8.55,7.09,225,44.37,Middle East
CM1044,Influencer_Aarav,instagram,Giveaway,2024-01-25,2024-01-31,8553.0,685362,719053,9.75,5.93,559,29.06,India
CM4298,Influencer_Olivia,Instagram,Brand Awareness,2024-05-19,2024-05-10,525.0,129470,262055,3.56,12.54,743,50.17,Europe
CM2506,Influencer_Mia,instagram,Giveaway,2024-06-06,2024-06-25,1903.0,838948,966630,0.52,6.5,534,-1.45,SEA
CM2818,Influencer_Aarav,YouTube,Giveaway,2024-01-06,2023-12-28,7685.0,901251,991798,9.4,9.96,276,34.15,India
CM4449,Influencer_Aarav,TikTok,Affiliate,2024-03-20,2024-03-20,4359.0,243720,334027,4.6,5.36,645,14.82,Europe
CM446,Influencer_Aarav,X,Giveaway,2024-03-09,2024-03-16,4456.0,57435,230787,8.96,11.65,81,48.91,SEA
CM1520,Influencer_Riya,YouTube,Giveaway,2024-04-27,2024-04-20,7601.0,539889,719401,2.2,10.76,272,6.69,North America
CM571,Influencer_Olivia,Facebook,Affiliate,2024-01-24,2024-01-20,2716.0,816555,988951,1.01,13.58,878,8.12,Middle East
CM1361,Influencer_Aarav,TikTok,Giveaway,2024-07-15,2024-07-20,,440425,634781,7.98,0.62,110,18.04,SEA
CM3909,Influencer_Mia,YouTube,Product Launch,2024-05-28,2024-05-22,4228.0,458359,477106,3.74,6.8,156,45.1,SEA
CM3982,Influencer_Olivia,TikTok,Brand Awareness,2024-04-04,2024-04-05,3633.0,882455,921896,6.61,13.95,941,-0.45,SEA
CM2446,Influencer_Zane,TikTok,Giveaway,2024-09-05,2024-08-27,9483.0,278264,355691,4.67,9.46,862,11.83,Europe
CM2102,Influencer_Riya,Facebook,Affiliate,2024-07-19,2024-07-10,7870.0,387242,423024,9.31,3.24,944,51.79,Europe
CM4443,Influencer_Ava,Instagram,Product Launch,2024-06-05,2024-06-06,7171.0,179445,187866,6.51,11.31,124,7.9,North America
CM4109,Influencer_Zane,Facebook,Affiliate,2024-01-05,2024-01-07,899.0,254107,357956,,1.08,758,50.06,Europe
CM4996,Influencer_Mia,YouTube,Brand Awareness,2024-09-10,2024-09-02,3430.0,584667,623386,9.23,8.44,339,-7.89,Middle East
CM1149,Influencer_Olivia,instagram,Giveaway,2024-03-20,2024-03-17,3412.0,175798,232081,9.21,2.21,500,3.68,North America
CM846,Influencer_Ethan,Instagram,Affiliate,2024-01-27,2024-02-07,7234.0,20507,77999,9.78,0.34,417,-6.15,North America
CM586,Influencer_Ethan,TikTok,Product Launch,2024-11-28,2024-12-09,3720.0,67445,201939,9.26,6.88,355,59.59,SEA
CM4650,Influencer_Ethan,YouTube,Affiliate,2024-04-04,2024-03-27,7550.0,498882,571718,9.71,10.18,177,38.22,India
CM4679,Influencer_Aarav,Instagram,Affiliate,2024-04-28,2024-04-28,4476.0,4468,133936,4.23,11.39,400,49.6,India
CM948,Influencer_Noah,YouTube,Product Launch,2024-10-23,2024-11-05,1604.0,184195,345424,3.83,10.81,218,11.7,India
CM3145,Influencer_Aarav,INSTAGRAM,Affiliate,2024-08-06,2024-08-24,,288179,315906,7.75,2.76,985,29.16,Middle East
CM4267,Influencer_Ethan,INSTAGRAM,Product Launch,2024-03-09,2024-03-13,3314.0,876495,1064280,9.58,2.15,175,30.06,SEA
CM1120,Influencer_Ethan,TikTok,Affiliate,2024-10-01,2024-10-02,6757.0,604107,636278,5.66,6.18,99,31.19,Europe
CM4988,Influencer_Zane,X,Product Launch,2024-02-12,2024-02-28,7950.0,986085,1059757,8.98,13.45,762,12.31,North America
CM2325,Influencer_Ava,INSTAGRAM,Giveaway,2024-08-26,2024-09-13,4956.0,847541,933804,2.81,5.44,537,59.52,Europe
CM630,Influencer_Olivia,X,Giveaway,2024-07-06,2024-07-18,4243.0,24178,68500,2.24,0.58,69,8.65,Europe
CM165,Influencer_Liam,Facebook,Affiliate,2024-05-25,2024-06-01,5022.0,655563,682618,7.86,5.63,384,31.07,SEA
CM4953,Influencer_Noah,Instagram,Brand Awareness,2024-04-26,2024-05-05,4242.0,829460,1004614,4.03,8.05,950,33.28,India
CM2526,Influencer_Aarav,Instagram,Giveaway,2024-07-09,2024-07-18,2220.0,829426,899169,5.63,3.37,45,25.37,India
CM510,Influencer_Olivia,instagram,Affiliate,2024-04-03,2024-04-11,1041.0,702485,803375,4.7,14.93,107,,Europe
CM4846,Influencer_Zane,INSTAGRAM,Brand Awareness,2024-10-06,2024-10-07,2333.0,944776,970559,1.63,7.14,44,18.71,India
CM781,Influencer_Noah,Facebook,Giveaway,2024-06-20,2024-06-12,7514.0,8784,179272,9.7,3.71,479,56.62,North America
CM2131,Influencer_Liam,TikTok,Giveaway,2024-10-19,2024-11-06,9474.0,67573,261365,7.94,3.35,180,48.41,North America
CM4071,Influencer_Liam,Instagram,Product Launch,2024-03-12,2024-03-13,559.0,752266,867061,5.13,5.86,203,6.18,North America
CM1506,Influencer_Zane,YouTube,Brand Awareness,2024-01-12,2024-01-16,3107.0,649235,683129,7.36,3.64,81,-8.81,India
CM933,Influencer_Liam,INSTAGRAM,Affiliate,2024-04-12,2024-04-21,7994.0,508483,643531,7.5,2.4,496,35.32,North America
CM726,Influencer_Olivia,Instagram,Affiliate,2024-06-20,2024-06-14,6811.0,437962,567613,0.66,2.52,718,10.58,India
CM3537,Influencer_Liam,instagram,Giveaway,2024-02-09,2024-02-26,4513.0,342977,489233,8.84,7.54,80,41.58,India
CM2163,Influencer_Aarav,Facebook,Product Launch,2024-09-27,2024-10-11,5880.0,705107,872407,7.02,2.87,194,33.49,Europe
CM3619,Influencer_Noah,X,Giveaway,2024-03-06,2024-03-15,2260.0,828307,870528,9.48,8.68,832,-2.78,Middle East
CM537,Influencer_Olivia,INSTAGRAM,Giveaway,2024-08-02,2024-08-12,7021.0,895929,1065821,9.23,5.78,650,-2.2,Europe
CM3144,Influencer_Aarav,X,Brand Awareness,2024-09-26,2024-09-21,8509.0,207802,216715,0.89,5.96,617,28.53,North America
CM2674,Influencer_Noah,YouTube,Giveaway,2024-10-05,2024-10-02,6597.0,311085,407994,4.86,4.01,56,-6.72,SEA
CM1077,Influencer_Zane,TikTok,Affiliate,2024-02-08,2024-02-22,6392.0,215396,281922,7.9,6.39,351,59.87,North America
CM1726,Influencer_Mia,Instagram,Product Launch,2024-11-15,2024-11-17,4807.0,557265,570922,6.49,5.26,842,,Middle East
CM2066,Influencer_Liam,Instagram,Giveaway,2024-07-29,2024-08-02,2086.0,418876,432104,0.64,3.19,745,54.94,North America
CM1422,Influencer_Olivia,Facebook,Product Launch,2024-07-20,2024-07-19,4180.0,804603,818936,,13.59,329,1.04,SEA
CM340,Influencer_Noah,instagram,Product Launch,2024-11-21,2024-11-24,7926.0,365899,515177,7.83,2.19,152,9.94,SEA
CM522,Influencer_Liam,Facebook,Brand Awareness,2024-12-01,2024-12-02,8083.0,61941,236599,7.8,3.65,90,41.89,India
CM1587,Influencer_Ava,X,Product Launch,2024-12-10,2024-12-23,6951.0,663943,796730,4.85,8.96,129,40.51,Europe
CM123,Influencer_Riya,X,Brand Awareness,2024-08-03,2024-08-15,8842.0,145574,259828,5.31,7.87,316,-8.1,India
CM3064,Influencer_Ava,YouTube,Brand Awareness,2024-01-31,2024-01-31,9955.0,213194,335255,5.25,7.92,996,,SEA
CM133,Influencer_Aarav,TikTok,Brand Awareness,2024-09-24,2024-09-14,4161.0,616534,773147,4.87,9.78,452,39.77,India
CM4402,Influencer_Olivia,YouTube,Product Launch,2024-03-02,2024-02-24,4497.0,100772,231394,4.4,12.26,24,-6.75,North America
CM1521,Influencer_Zane,instagram,Brand Awareness,2024-09-09,2024-09-06,3360.0,702264,900212,,4.39,921,-0.94,India
CM3195,Influencer_Mia,Facebook,Giveaway,2024-07-05,2024-07-17,2758.0,224378,313711,9.84,3.37,893,34.62,India
CM2986,Influencer_Noah,X,Product Launch,2024-08-06,2024-08-25,4892.0,73981,122965,,5.93,443,7.58,SEA
CM4778,Influencer_Sophia,instagram,Brand Awareness,2024-09-16,2024-09-24,6219.0,548514,642788,2.56,12.42,752,0.32,Middle East
CM4802,Influencer_Noah,Facebook,Affiliate,2024-04-14,2024-04-24,4642.0,232831,309118,5.64,12.58,835,41.11,SEA
CM2661,Influencer_Ethan,X,Product Launch,2024-03-07,2024-03-09,6268.0,221821,398683,6.3,0.56,435,53.13,Middle East
CM2747,Influencer_Riya,X,Affiliate,2024-09-09,2024-09-27,4549.0,71422,182419,5.98,9.78,684,29.66,Europe
CM1110,Influencer_Liam,Instagram,Product Launch,2024-03-19,2024-03-16,,191563,364370,9.11,2.33,997,16.64,SEA
CM4697,Influencer_Aarav,Instagram,Giveaway,2024-02-22,2024-02-19,,423504,440891,4.96,5.21,31,59.8,Europe
CM1734,Influencer_Aarav,YouTube,Giveaway,2024-06-19,2024-06-23,,459383,502563,4.42,7.69,975,-6.81,North America
CM179,Influencer_Ethan,YouTube,Product Launch,2024-09-11,2024-09-14,5349.0,474468,640278,9.22,7.96,655,49.59,Europe
CM4015,Influencer_Riya,TikTok,Giveaway,2024-01-16,2024-01-31,5667.0,152944,233403,1.7,4.93,293,54.32,Europe
CM3969,Influencer_Zane,TikTok,Product Launch,2024-01-10,2024-01-17,3526.0,384075,456028,6.71,10.8,998,17.57,SEA
CM354,Influencer_Ava,Facebook,Brand Awareness,2024-02-18,2024-02-23,4988.0,918722,1064853,9.18,7.63,485,-5.36,SEA
CM1692,Influencer_Sophia,INSTAGRAM,Affiliate,2024-02-13,2024-02-28,9448.0,923805,1039675,9.25,8.37,671,17.89,India
CM1634,Influencer_Olivia,Instagram,Brand Awareness,2024-01-06,2024-01-14,8532.0,124675,211744,4.85,14.63,536,29.74,India
CM3706,Influencer_Aarav,instagram,Brand Awareness,2024-11-13,2024-12-01,5851.0,29063,181287,4.85,5.88,142,-5.64,Middle East
CM390,Influencer_Ava,Instagram,Giveaway,2024-05-27,2024-05-27,3760.0,769693,826297,4.44,12.9,942,28.91,North America
CM1031,Influencer_Riya,YouTube,Affiliate,2024-01-02,2024-01-02,1916.0,725078,760832,9.4,5.77,281,48.9,North America
CM327,Influencer_Aarav,TikTok,Brand Awareness,2024-01-31,2024-01-28,9254.0,852611,859334,3.17,10.65,537,29.86,North America
CM2327,Influencer_Ethan,TikTok,Brand Awareness,2024-11-05,2024-11-22,8668.0,266914,317131,8.26,1.0,384,55.84,North America
CM1440,Influencer_Ethan,instagram,Product Launch,2024-02-09,2024-02-11,8589.0,676799,862445,7.19,6.27,581,48.67,North America
CM4050,Influencer_Ava,X,Affiliate,2024-03-08,2024-03-18,7036.0,45828,124516,1.38,6.09,470,25.39,India
CM1653,Influencer_Zane,TikTok,Product Launch,2024-11-27,2024-11-21,7874.0,182839,274424,8.86,4.17,365,32.33,North America
CM1026,Influencer_Zane,Facebook,Giveaway,2024-12-08,2024-11-29,2340.0,175039,187462,7.06,0.34,103,59.67,North America
CM4205,Influencer_Ethan,X,Giveaway,2024-08-03,2024-08-01,2983.0,660414,836430,1.9,0.38,810,-5.59,India
CM1800,Influencer_Ava,instagram,Affiliate,2024-03-11,2024-03-18,6047.0,370215,564287,5.55,4.56,661,19.29,India
CM3977,Influencer_Sophia,instagram,Affiliate,2024-09-27,2024-10-12,3919.0,472376,531639,9.98,10.74,720,5.6,SEA
CM451,Influencer_Ava,X,Affiliate,2024-07-07,2024-07-21,,521848,638012,,1.3,832,57.89,Europe
CM2556,Influencer_Noah,X,Affiliate,2024-07-19,2024-07-15,2086.0,363793,562810,9.38,1.5,602,5.5,India
CM4704,Influencer_Riya,X,Product Launch,2024-03-28,2024-04-01,6829.0,795360,812064,3.12,4.9,393,0.35,Middle East
CM4605,Influencer_Ethan,YouTube,Product Launch,2024-06-03,2024-06-13,4629.0,186648,202327,8.31,6.36,11,43.79,SEA
CM3509,Influencer_Olivia,instagram,Product Launch,2024-02-23,2024-03-08,4447.0,820072,868331,5.01,3.0,274,-0.37,India
CM4586,Influencer_Ethan,instagram,Brand Awareness,2024-05-20,2024-05-27,1561.0,233463,258311,8.47,9.19,716,19.33,India
CM493,Influencer_Riya,YouTube,Product Launch,2024-04-06,2024-04-05,4242.0,411142,546872,6.17,7.85,823,25.35,Middle East
CM931,Influencer_Ethan,Instagram,Product Launch,2024-11-18,2024-11-26,5287.0,392170,579838,6.3,5.52,245,37.64,Middle East
CM4108,Influencer_Liam,Instagram,Brand Awareness,2024-09-14,2024-09-07,6214.0,218129,311663,3.83,14.77,888,27.91,India
CM3558,Influencer_Noah,Facebook,Giveaway,2024-01-28,2024-01-26,8170.0,755233,919052,4.43,0.33,781,46.26,India
CM3392,Influencer_Mia,TikTok,Affiliate,2024-01-29,2024-01-22,9937.0,375924,410321,0.96,4.19,944,52.5,SEA
CM3226,Influencer_Sophia,Facebook,Product Launch,2024-06-09,2024-05-30,,158481,252994,9.93,10.57,838,0.41,Europe
CM4450,Influencer_Ava,Facebook,Brand Awareness,2024-05-13,2024-06-01,8550.0,459538,551898,5.94,14.2,89,41.17,SEA
CM1258,Influencer_Olivia,Instagram,Giveaway,2024-07-29,2024-08-05,3002.0,629479,637564,4.78,2.65,686,8.25,Europe
CM4618,Influencer_Ethan,TikTok,Brand Awareness,2024-08-05,2024-08-15,2533.0,140972,220784,7.83,2.62,997,51.8,North America
CM1132,Influencer_Sophia,X,Brand Awareness,2024-01-19,2024-02-01,9234.0,533587,651246,7.52,11.75,912,16.18,India
CM824,Influencer_Zane,INSTAGRAM,Giveaway,2024-10-04,2024-09-26,5780.0,364877,518035,6.29,9.98,548,20.31,SEA
CM568,Influencer_Riya,INSTAGRAM,Product Launch,2024-05-29,2024-06-03,9843.0,781136,911293,3.42,7.05,756,51.19,North America
CM903,Influencer_Noah,Facebook,Product Launch,2024-01-26,2024-01-31,630.0,412115,545829,6.4,5.99,583,42.38,Europe
CM3852,Influencer_Ethan,Facebook,Giveaway,2024-05-26,2024-05-21,3121.0,77730,159186,2.91,6.7,482,-6.03,Europe
CM3230,Influencer_Sophia,Instagram,Affiliate,2024-01-16,2024-01-19,4049.0,997570,1112779,8.77,4.09,983,15.57,Middle East
CM2287,Influencer_Sophia,TikTok,Giveaway,2024-01-23,2024-02-08,5979.0,379324,426144,,3.12,869,14.12,India
CM540,Influencer_Noah,TikTok,Affiliate,2024-05-14,2024-05-07,9227.0,785118,806779,2.01,6.93,649,-3.91,North America
CM2545,Influencer_Olivia,TikTok,Brand Awareness,2024-05-19,2024-05-22,6333.0,280684,480166,0.9,13.92,961,46.32,Europe
CM2557,Influencer_Ethan,TikTok,Product Launch,2024-05-05,2024-05-11,5182.0,43044,87432,3.7,7.0,940,3.89,Middle East
CM3024,Influencer_Zane,YouTube,Brand Awareness,2024-05-26,2024-05-22,7273.0,451615,511450,5.08,6.43,705,,Middle East
CM3632,Influencer_Ava,X,Brand Awareness,2024-03-26,2024-04-01,6144.0,49500,146953,9.46,8.2,987,22.34,North America
CM4320,Influencer_Mia,TikTok,Giveaway,2024-07-02,2024-06-22,7677.0,289708,489558,2.72,7.99,418,9.34,Europe
CM3335,Influencer_Ethan,Instagram,Affiliate,2024-05-02,2024-05-21,1338.0,57632,243570,8.78,13.3,355,1.99,Middle East
CM3792,Influencer_Liam,X,Brand Awareness,2024-12-14,2024-12-29,7382.0,609544,615203,3.97,9.37,78,33.41,Middle East
CM5019,Influencer_Aarav,instagram,Product Launch,2024-08-09,2024-08-18,1937.0,720234,875787,2.57,14.86,557,-4.9,India
CM3556,Influencer_Ethan,Instagram,Product Launch,2024-03-30,2024-04-06,8451.0,910329,950236,,3.56,205,53.83,India
CM2976,Influencer_Liam,X,Giveaway,2024-03-01,2024-02-25,7015.0,460387,478526,1.39,1.16,34,23.84,North America
CM3995,Influencer_Ava,INSTAGRAM,Affiliate,2024-04-01,2024-04-03,2042.0,1056,154732,8.46,12.44,917,32.79,North America
CM4374,Influencer_Riya,X,Affiliate,2024-07-13,2024-07-06,7833.0,171899,370027,5.42,5.55,606,40.32,India
CM184,Influencer_Riya,instagram,Affiliate,2024-06-06,2024-06-14,7447.0,509594,568720,6.11,4.87,698,5.76,SEA
CM1683,Influencer_Olivia,X,Brand Awareness,2024-01-23,2024-01-13,6641.0,401414,516282,6.02,14.37,865,53.46,India
CM900,Influencer_Liam,INSTAGRAM,Giveaway,2024-05-29,2024-06-14,7909.0,15570,40674,2.85,13.39,945,32.42,India
CM4563,Influencer_Olivia,Facebook,Giveaway,2024-11-13,2024-11-28,1448.0,814383,854816,3.02,10.01,817,47.26,India
CM4666,Influencer_Zane,INSTAGRAM,Brand Awareness,2024-02-08,2024-02-24,9152.0,951587,1110411,1.96,3.86,982,27.98,India
CM1525,Influencer_Noah,Instagram,Giveaway,2024-11-28,2024-12-05,3334.0,708883,886472,3.55,12.15,435,-0.94,North America
CM2982,Influencer_Liam,TikTok,Affiliate,2024-03-14,2024-03-09,4722.0,882196,986222,2.79,2.29,699,40.69,Europe
CM206,Influencer_Mia,Facebook,Product Launch,2024-05-12,2024-05-24,9554.0,914601,1014192,1.9,1.09,197,40.49,Europe
CM4260,Influencer_Liam,Facebook,Giveaway,2024-04-02,2024-04-19,5151.0,740919,839410,9.06,1.19,808,4.28,SEA
CM1554,Influencer_Mia,YouTube,Affiliate,2024-12-10,2024-12-21,,534210,642907,5.32,1.74,907,29.14,Middle East
CM1381,Influencer_Ava,TikTok,Brand Awareness,2024-06-21,2024-07-07,6337.0,819180,974259,1.44,4.71,978,45.01,North America
CM4913,Influencer_Riya,INSTAGRAM,Giveaway,2024-09-16,2024-09-19,7506.0,474945,565307,7.49,0.51,962,28.21,North America
CM864,Influencer_Noah,Instagram,Affiliate,2024-04-15,2024-04-16,7892.0,667079,786871,7.8,1.85,219,-0.05,Middle East
CM3417,Influencer_Olivia,X,Product Launch,2024-08-16,2024-08-31,7383.0,409195,413642,8.2,4.51,858,45.44,India
CM1638,Influencer_Olivia,YouTube,Giveaway,2024-06-11,2024-06-17,8566.0,514207,652201,6.79,13.01,55,,India
CM2429,Influencer_Ethan,Facebook,Giveaway,2024-11-27,2024-12-11,5826.0,716424,813032,2.18,3.33,752,37.47,SEA
CM108,Influencer_Liam,YouTube,Product Launch,2024-03-03,2024-03-12,5378.0,716923,792814,7.9,9.32,383,35.38,SEA
CM887,Influencer_Olivia,instagram,Giveaway,2024-05-13,2024-05-22,9275.0,718820,844253,9.09,9.25,443,-5.42,SEA
CM1479,Influencer_Liam,instagram,Giveaway,2024-08-23,2024-09-04,1684.0,352406,489911,8.0,9.61,617,45.4,Middle East
CM4832,Influencer_Ava,Instagram,Affiliate,2024-08-21,2024-08-27,2956.0,779578,962502,8.83,7.54,274,52.18,Europe
CM3389,Influencer_Mia,YouTube,Brand Awareness,2024-08-01,2024-08-17,2209.0,845785,889202,2.54,11.7,761,12.04,India
CM689,Influencer_Olivia,Facebook,Brand Awareness,2024-07-29,2024-08-10,5471.0,924676,1098689,8.5,12.4,304,9.32,North America
CM2843,Influencer_Liam,YouTube,Affiliate,2024-04-22,2024-04-16,7788.0,294904,401651,8.13,5.07,805,50.57,Middle East
CM3111,Influencer_Mia,YouTube,Brand Awareness,2024-09-22,2024-09-19,8642.0,436456,626681,3.02,9.03,237,35.6,Europe
CM1991,Influencer_Zane,INSTAGRAM,Product Launch,2024-07-31,2024-07-25,4400.0,88193,228683,1.12,12.49,86,41.33,Middle East
CM319,Influencer_Liam,Instagram,Affiliate,2024-11-22,2024-11-15,1327.0,660459,704509,8.16,3.02,162,46.09,India
CM257,Influencer_Sophia,INSTAGRAM,Affiliate,2024-07-23,2024-08-04,5816.0,34580,196522,1.57,10.03,770,52.11,India
CM3451,Influencer_Riya,Instagram,Product Launch,2024-07-26,2024-08-12,8787.0,876900,917605,3.14,14.61,627,6.19,India
CM818,Influencer_Noah,TikTok,Product Launch,2024-05-25,2024-06-10,3844.0,542055,555576,0.72,2.57,469,55.98,Middle East
CM1064,Influencer_Liam,instagram,Brand Awareness,2024-06-23,2024-06-19,4427.0,781143,869676,7.66,0.97,451,1.31,Europe
CM4111,Influencer_Noah,instagram,Product Launch,2024-06-28,2024-07-08,6755.0,563505,660128,2.04,3.24,995,49.19,Europe
CM279,Influencer_Ava,X,Affiliate,2024-09-29,2024-10-14,7616.0,671756,870186,5.89,3.68,206,9.77,Europe
CM3368,Influencer_Aarav,instagram,Product Launch,2024-06-08,2024-06-08,3840.0,410421,498060,,6.48,320,-5.06,Europe
CM3524,Influencer_Riya,INSTAGRAM,Affiliate,2024-10-05,2024-10-16,4837.0,944155,1095020,9.25,11.54,173,-9.41,SEA
CM4194,Influencer_Liam,INSTAGRAM,Affiliate,2024-11-11,2024-11-04,7810.0,941476,1078855,7.47,2.61,616,,North America
CM2286,Influencer_Olivia,INSTAGRAM,Product Launch,2024-06-17,2024-06-17,,627305,636479,6.2,13.34,606,39.95,India
CM2518,Influencer_Sophia,INSTAGRAM,Affiliate,2024-01-13,2024-01-03,2654.0,288933,329701,3.38,12.68,606,2.43,SEA
CM4784,Influencer_Liam,Facebook,Product Launch,2024-11-26,2024-11-23,3788.0,851086,1026209,4.58,14.84,529,56.18,SEA
CM597,Influencer_Ethan,X,Giveaway,2024-09-23,2024-09-25,5376.0,5476,35230,3.26,10.54,378,-1.61,SEA
CM1826,Influencer_Sophia,Instagram,Brand Awareness,2024-04-01,2024-03-29,3762.0,995293,1095502,1.52,5.96,227,9.76,Europe
CM1760,Influencer_Olivia,Facebook,Product Launch,2024-01-12,2024-01-18,6845.0,655274,688675,2.65,14.32,642,2.89,Middle East
CM2997,Influencer_Zane,Facebook,Affiliate,2024-03-20,2024-03-23,4974.0,127283,279994,1.72,2.34,90,43.61,Middle East
CM1847,Influencer_Liam,TikTok,Giveaway,2024-04-27,2024-05-04,2762.0,262085,278094,2.23,10.99,33,26.06,Europe
CM2942,Influencer_Ava,YouTube,Product Launch,2024-01-02,2024-01-04,6782.0,815419,901117,3.29,4.45,280,27.08,Middle East
CM4520,Influencer_Zane,TikTok,Brand Awareness,2024-10-26,2024-10-23,6409.0,258583,357074,5.8,14.79,482,6.1,Middle East
CM4128,Influencer_Noah,Facebook,Product Launch,2024-04-22,2024-04-22,4441.0,820988,870432,5.21,3.52,103,27.28,Middle East
CM1102,Influencer_Mia,TikTok,Product Launch,2024-02-29,2024-03-14,5962.0,982041,985607,7.8,10.86,833,41.75,SEA
CM129,Influencer_Liam,Facebook,Brand Awareness,2024-11-20,2024-11-22,2879.0,770867,781018,9.9,7.1,634,11.93,Middle East
CM1195,Influencer_Liam,instagram,Giveaway,2024-04-18,2024-04-29,7224.0,655465,770409,0.59,9.7,374,58.29,Europe
