Campaign_ID,Influencer_ID,Campaign_Type,Start_Date,End_Date,Budget_USD,Reach,Impressions,Engagement_Rate,Click_Through_Rate,Conversions,ROI
CM834,256,Affiliate,2024-04-24,2024-04-27,1213.0,416673,601434,7.39,12.73,636,23.32
CM863,320,Brand Awareness,2024-05-12,2024-05-14,,34512,129938,0.71,2.98,106,22.62
CM4035,319,Product Launch,2024-04-02,2024-04-15,2705.0,466075,516041,9.09,2.43,323,47.56
CM5047,256,Giveaway,2024-12-27,2024-12-23,2139.0,172066,362357,7.44,10.11,402,17.22
CM1226,133,Affiliate,2024-12-29,2024-12-28,6709.0,208531,354210,2.84,1.3,761,43.73
CM3680,321,Product Launch,2024-12-27,2025-01-01,1377.0,181940,268583,4.98,4.81,563,21.68
CM4080,313,Affiliate,2024-09-01,2024-09-06,2913.0,271192,396612,1.99,14.4,414,19.01
CM4686,273,Giveaway,2024-05-28,2024-05-24,7747.0,235267,237011,2.78,6.43,622,-1.7
CM3386,339,Affiliate,2024-09-15,2024-09-23,4363.0,293381,326361,8.55,7.09,225,44.37
CM1044,241,Giveaway,2024-01-25,2024-01-31,8553.0,685362,719053,9.75,5.93,559,29.06
CM4298,335,Brand Awareness,2024-05-19,2024-05-10,525.0,129470,262055,3.56,12.54,743,50.17
CM2506,319,Giveaway,2024-06-06,2024-06-25,1903.0,838948,966630,0.52,6.5,534,-1.45
CM2818,225,Giveaway,2024-01-06,2023-12-28,7685.0,901251,991798,9.4,9.96,276,34.15
CM4449,218,Affiliate,2024-03-20,2024-03-20,4359.0,243720,334027,4.6,5.36,645,14.82
CM446,267,Giveaway,2024-03-09,2024-03-16,4456.0,57435,230787,8.96,11.65,81,48.91
CM1520,349,Giveaway,2024-04-27,2024-04-20,7601.0,539889,719401,2.2,10.76,272,6.69
CM571,203,Affiliate,2024-01-24,2024-01-20,2716.0,816555,988951,1.01,13.58,878,8.12
CM1361,218,Giveaway,2024-07-15,2024-07-20,,440425,634781,7.98,0.62,110,18.04
CM3909,306,Product Launch,2024-05-28,2024-05-22,4228.0,458359,477106,3.74,6.8,156,45.1
CM3982,256,Brand Awareness,2024-04-04,2024-04-05,3633.0,882455,921896,6.61,13.95,941,-0.45
CM2446,163,Giveaway,2024-09-05,2024-08-27,9483.0,278264,355691,4.67,9.46,862,11.83
CM2102,315,Affiliate,2024-07-19,2024-07-10,7870.0,387242,423024,9.31,3.24,944,51.79
CM4443,322,Product Launch,2024-06-05,2024-06-06,7171.0,179445,187866,6.51,11.31,124,7.9
CM4109,299,Affiliate,2024-01-05,2024-01-07,899.0,254107,357956,,1.08,758,50.06
CM4996,306,Brand Awareness,2024-09-10,2024-09-02,3430.0,584667,623386,9.23,8.44,339,-7.89
CM1149,137,Giveaway,2024-03-20,2024-03-17,3412.0,175798,232081,9.21,2.21,500,3.68
CM846,324,Affiliate,2024-01-27,2024-02-07,7234.0,20507,77999,9.78,0.34,417,-6.15
CM586,350,Product Launch,2024-11-28,2024-12-09,3720.0,67445,201939,9.26,6.88,355,59.59
CM4650,204,Affiliate,2024-04-04,2024-03-27,7550.0,498882,571718,9.71,10.18,177,38.22
CM4679,321,Affiliate,2024-04-28,2024-04-28,4476.0,4468,133936,4.23,11.39,400,49.6
CM948,314,Product Launch,2024-10-23,2024-11-05,1604.0,184195,345424,3.83,10.81,218,11.7
CM3145,296,Affiliate,2024-08-06,2024-08-24,,288179,315906,7.75,2.76,985,29.16
CM4267,330,Product Launch,2024-03-09,2024-03-13,3314.0,876495,1064280,9.58,2.15,175,30.06
CM1120,350,Affiliate,2024-10-01,2024-10-02,6757.0,604107,636278,5.66,6.18,99,31.19
CM4988,334,Product Launch,2024-02-12,2024-02-28,7950.0,986085,1059757,8.98,13.45,762,12.31
CM2325,278,Giveaway,2024-08-26,2024-09-13,4956.0,847541,933804,2.81,5.44,537,59.52
CM630,344,Giveaway,2024-07-06,2024-07-18,4243.0,24178,68500,2.24,0.58,69,8.65
CM165,249,Affiliate,2024-05-25,2024-06-01,5022.0,655563,682618,7.86,5.63,384,31.07
CM4953,133,Brand Awareness,2024-04-26,2024-05-05,4242.0,829460,1004614,4.03,8.05,950,33.28
CM2526,321,Giveaway,2024-07-09,2024-07-18,2220.0,829426,899169,5.63,3.37,45,25.37
CM510,137,Affiliate,2024-04-03,2024-04-11,1041.0,702485,803375,4.7,14.93,107,
CM4846,295,Brand Awareness,2024-10-06,2024-10-07,2333.0,944776,970559,1.63,7.14,44,18.71
CM781,157,Giveaway,2024-06-20,2024-06-12,7514.0,8784,179272,9.7,3.71,479,56.62
CM2131,297,Giveaway,2024-10-19,2024-11-06,9474.0,67573,261365,7.94,3.35,180,48.41
CM4071,211,Product Launch,2024-03-12,2024-03-13,559.0,752266,867061,5.13,5.86,203,6.18
CM1506,268,Brand Awareness,2024-01-12,2024-01-16,3107.0,649235,683129,7.36,3.64,81,-8.81
CM933,258,Affiliate,2024-04-12,2024-04-21,7994.0,508483,643531,7.5,2.4,496,35.32
CM726,335,Affiliate,2024-06-20,2024-06-14,6811.0,437962,567613,0.66,2.52,718,10.58
CM3537,172,Giveaway,2024-02-09,2024-02-26,4513.0,342977,489233,8.84,7.54,80,41.58
CM2163,337,Product Launch,2024-09-27,2024-10-11,5880.0,705107,872407,7.02,2.87,194,33.49
CM3619,298,Giveaway,2024-03-06,2024-03-15,2260.0,828307,870528,9.48,8.68,832,-2.78
CM537,329,Giveaway,2024-08-02,2024-08-12,7021.0,895929,1065821,9.23,5.78,650,-2.2
CM3144,267,Brand Awareness,2024-09-26,2024-09-21,8509.0,207802,216715,0.89,5.96,617,28.53
CM2674,314,Giveaway,2024-10-05,2024-10-02,6597.0,311085,407994,4.86,4.01,56,-6.72
CM1077,163,Affiliate,2024-02-08,2024-02-22,6392.0,215396,281922,7.9,6.39,351,59.87
CM1726,346,Product Launch,2024-11-15,2024-11-17,4807.0,557265,570922,6.49,5.26,842,
CM2066,211,Giveaway,2024-07-29,2024-08-02,2086.0,418876,432104,0.64,3.19,745,54.94
CM1422,203,Product Launch,2024-07-20,2024-07-19,4180.0,804603,818936,,13.59,329,1.04
CM340,305,Product Launch,2024-11-21,2024-11-24,7926.0,365899,515177,7.83,2.19,152,9.94
CM522,249,Brand Awareness,2024-12-01,2024-12-02,8083.0,61941,236599,7.8,3.65,90,41.89
CM1587,313,Product Launch,2024-12-10,2024-12-23,6951.0,663943,796730,4.85,8.96,129,40.51
CM123,247,Brand Awareness,2024-08-03,2024-08-15,8842.0,145574,259828,5.31,7.87,316,-8.1
CM3064,343,Brand Awareness,2024-01-31,2024-01-31,9955.0,213194,335255,5.25,7.92,996,
CM133,218,Brand Awareness,2024-09-24,2024-09-14,4161.0,616534,773147,4.87,9.78,452,39.77
CM4402,317,Product Launch,2024-03-02,2024-02-24,4497.0,100772,231394,4.4,12.26,24,-6.75
CM1521,340,Brand Awareness,2024-09-09,2024-09-06,3360.0,702264,900212,,4.39,921,-0.94
CM3195,250,Giveaway,2024-07-05,2024-07-17,2758.0,224378,313711,9.84,3.37,893,34.62
CM2986,298,Product Launch,2024-08-06,2024-08-25,4892.0,73981,122965,,5.93,443,7.58
CM4778,271,Brand Awareness,2024-09-16,2024-09-24,6219.0,548514,642788,2.56,12.42,752,0.32
CM4802,157,Affiliate,2024-04-14,2024-04-24,4642.0,232831,309118,5.64,12.58,835,41.11
CM2661,338,Product Launch,2024-03-07,2024-03-09,6268.0,221821,398683,6.3,0.56,435,53.13
CM2747,247,Affiliate,2024-09-09,2024-09-27,4549.0,71422,182419,5.98,9.78,684,29.66
CM1110,211,Product Launch,2024-03-19,2024-03-16,,191563,364370,9.11,2.33,997,16.64
CM4697,321,Giveaway,2024-02-22,2024-02-19,,423504,440891,4.96,5.21,31,59.8
CM1734,225,Giveaway,2024-06-19,2024-06-23,,459383,502563,4.42,7.69,975,-6.81
CM179,204,Product Launch,2024-09-11,2024-09-14,5349.0,474468,640278,9.22,7.96,655,49.59
CM4015,347,Giveaway,2024-01-16,2024-01-31,5667.0,152944,233403,1.7,4.93,293,54.32
CM3969,163,Product Launch,2024-01-10,2024-01-17,3526.0,384075,456028,6.71,10.8,998,17.57
CM354,320,Brand Awareness,2024-02-18,2024-02-23,4988.0,918722,1064853,9.18,7.63,485,-5.36
CM1692,339,Affiliate,2024-02-13,2024-02-28,9448.0,923805,1039675,9.25,8.37,671,17.89
CM1634,335,Brand Awareness,2024-01-06,2024-01-14,8532.0,124675,211744,4.85,14.63,536,29.74
CM3706,241,Brand Awareness,2024-11-13,2024-12-01,5851.0,29063,181287,4.85,5.88,142,-5.64
CM390,322,Giveaway,2024-05-27,2024-05-27,3760.0,769693,826297,4.44,12.9,942,28.91
CM1031,349,Affiliate,2024-01-02,2024-01-02,1916.0,725078,760832,9.4,5.77,281,48.9
CM327,218,Brand Awareness,2024-01-31,2024-01-28,9254.0,852611,859334,3.17,10.65,537,29.86
CM2327,350,Brand Awareness,2024-11-05,2024-11-22,8668.0,266914,317131,8.26,1.0,384,55.84
CM1440,327,Product Launch,2024-02-09,2024-02-11,8589.0,676799,862445,7.19,6.27,581,48.67
CM4050,313,Affiliate,2024-03-08,2024-03-18,7036.0,45828,124516,1.38,6.09,470,25.39
CM1653,163,Product Launch,2024-11-27,2024-11-21,7874.0,182839,274424,8.86,4.17,365,32.33
CM1026,299,Giveaway,2024-12-08,2024-11-29,2340.0,175039,187462,7.06,0.34,103,59.67
CM4205,338,Giveaway,2024-08-03,2024-08-01,2983.0,660414,836430,1.9,0.38,810,-5.59
CM1800,336,Affiliate,2024-03-11,2024-03-18,6047.0,370215,564287,5.55,4.56,661,19.29
CM3977,271,Affiliate,2024-09-27,2024-10-12,3919.0,472376,531639,9.98,10.74,720,5.6
CM451,313,Affiliate,2024-07-07,2024-07-21,,521848,638012,,1.3,832,57.89
CM2556,298,Affiliate,2024-07-19,2024-07-15,2086.0,363793,562810,9.38,1.5,602,5.5
CM4704,247,Product Launch,2024-03-28,2024-04-01,6829.0,795360,812064,3.12,4.9,393,0.35
CM4605,204,Product Launch,2024-06-03,2024-06-13,4629.0,186648,202327,8.31,6.36,11,43.79
CM3509,137,Product Launch,2024-02-23,2024-03-08,4447.0,820072,868331,5.01,3.0,274,-0.37
CM4586,327,Brand Awareness,2024-05-20,2024-05-27,1561.0,233463,258311,8.47,9.19,716,19.33
CM493,349,Product Launch,2024-04-06,2024-04-05,4242.0,411142,546872,6.17,7.85,823,25.35
CM931,324,Product Launch,2024-11-18,2024-11-26,5287.0,392170,579838,6.3,5.52,245,37.64
CM4108,211,Brand Awareness,2024-09-14,2024-09-07,6214.0,218129,311663,3.83,14.77,888,27.91
CM3558,157,Giveaway,2024-01-28,2024-01-26,8170.0,755233,919052,4.43,0.33,781,46.26
CM3392,263,Affiliate,2024-01-29,2024-01-22,9937.0,375924,410321,0.96,4.19,944,52.5
CM3226,245,Product Launch,2024-06-09,2024-05-30,,158481,252994,9.93,10.57,838,0.41
CM4450,320,Brand Awareness,2024-05-13,2024-06-01,8550.0,459538,551898,5.94,14.2,89,41.17
CM1258,335,Giveaway,2024-07-29,2024-08-05,3002.0,629479,637564,4.78,2.65,686,8.25
CM4618,350,Brand Awareness,2024-08-05,2024-08-15,2533.0,140972,220784,7.83,2.62,997,51.8
CM1132,323,Brand Awareness,2024-01-19,2024-02-01,9234.0,533587,651246,7.52,11.75,912,16.18
CM824,295,Giveaway,2024-10-04,2024-09-26,5780.0,364877,518035,6.29,9.98,548,20.31
CM568,291,Product Launch,2024-05-29,2024-06-03,9843.0,781136,911293,3.42,7.05,756,51.19
CM903,157,Product Launch,2024-01-26,2024-01-31,630.0,412115,545829,6.4,5.99,583,42.38
CM3852,345,Giveaway,2024-05-26,2024-05-21,3121.0,77730,159186,2.91,6.7,482,-6.03
CM3230,236,Affiliate,2024-01-16,2024-01-19,4049.0,997570,1112779,8.77,4.09,983,15.57
CM2287,279,Giveaway,2024-01-23,2024-02-08,5979.0,379324,426144,,3.12,869,14.12
CM540,292,Affiliate,2024-05-14,2024-05-07,9227.0,785118,806779,2.01,6.93,649,-3.91
CM2545,256,Brand Awareness,2024-05-19,2024-05-22,6333.0,280684,480166,0.9,13.92,961,46.32
CM2557,350,Product Launch,2024-05-05,2024-05-11,5182.0,43044,87432,3.7,7.0,940,3.89
CM3024,268,Brand Awareness,2024-05-26,2024-05-22,7273.0,451615,511450,5.08,6.43,705,
CM3632,313,Brand Awareness,2024-03-26,2024-04-01,6144.0,49500,146953,9.46,8.2,987,22.34
CM4320,263,Giveaway,2024-07-02,2024-06-22,7677.0,289708,489558,2.72,7.99,418,9.34
CM3335,324,Affiliate,2024-05-02,2024-05-21,1338.0,57632,243570,8.78,13.3,355,1.99
CM3792,260,Brand Awareness,2024-12-14,2024-12-29,7382.0,609544,615203,3.97,9.37,78,33.41
CM5019,241,Product Launch,2024-08-09,2024-08-18,1937.0,720234,875787,2.57,14.86,557,-4.9
CM3556,324,Product Launch,2024-03-30,2024-04-06,8451.0,910329,950236,,3.56,205,53.83
CM2976,260,Giveaway,2024-03-01,2024-02-25,7015.0,460387,478526,1.39,1.16,34,23.84
CM3995,278,Affiliate,2024-04-01,2024-04-03,2042.0,1056,154732,8.46,12.44,917,32.79
CM4374,247,Affiliate,2024-07-13,2024-07-06,7833.0,171899,370027,5.42,5.55,606,40.32
CM184,333,Affiliate,2024-06-06,2024-06-14,7447.0,509594,568720,6.11,4.87,698,5.76
CM1683,344,Brand Awareness,2024-01-23,2024-01-13,6641.0,401414,516282,6.02,14.37,865,53.46
CM900,258,Giveaway,2024-05-29,2024-06-14,7909.0,15570,40674,2.85,13.39,945,32.42
CM4563,203,Giveaway,2024-11-13,2024-11-28,1448.0,814383,854816,3.02,10.01,817,47.26
CM4666,295,Brand Awareness,2024-02-08,2024-02-24,9152.0,951587,1110411,1.96,3.86,982,27.98
CM1525,133,Giveaway,2024-11-28,2024-12-05,3334.0,708883,886472,3.55,12.15,435,-0.94
CM2982,297,Affiliate,2024-03-14,2024-03-09,4722.0,882196,986222,2.79,2.29,699,40.69
CM206,250,Product Launch,2024-05-12,2024-05-24,9554.0,914601,1014192,1.9,1.09,197,40.49
CM4260,249,Giveaway,2024-04-02,2024-04-19,5151.0,740919,839410,9.06,1.19,808,4.28
CM1554,306,Affiliate,2024-12-10,2024-12-21,,534210,642907,5.32,1.74,907,29.14
CM1381,332,Brand Awareness,2024-06-21,2024-07-07,6337.0,819180,974259,1.44,4.71,978,45.01
CM4913,291,Giveaway,2024-09-16,2024-09-19,7506.0,474945,565307,7.49,0.51,962,28.21
CM864,133,Affiliate,2024-04-15,2024-04-16,7892.0,667079,786871,7.8,1.85,219,-0.05
CM3417,344,Product Launch,2024-08-16,2024-08-31,7383.0,409195,413642,8.2,4.51,858,45.44
CM1638,317,Giveaway,2024-06-11,2024-06-17,8566.0,514207,652201,6.79,13.01,55,
CM2429,345,Giveaway,2024-11-27,2024-12-11,5826.0,716424,813032,2.18,3.33,752,37.47
CM108,302,Product Launch,2024-03-03,2024-03-12,5378.0,716923,792814,7.9,9.32,383,35.38
CM887,137,Giveaway,2024-05-13,2024-05-22,9275.0,718820,844253,9.09,9.25,443,-5.42
CM1479,172,Giveaway,2024-08-23,2024-09-04,1684.0,352406,489911,8.0,9.61,617,45.4
CM4832,322,Affiliate,2024-08-21,2024-08-27,2956.0,779578,962502,8.83,7.54,274,52.18
CM3389,306,Brand Awareness,2024-08-01,2024-08-17,2209.0,845785,889202,2.54,11.7,761,12.04
CM689,203,Brand Awareness,2024-07-29,2024-08-10,5471.0,924676,1098689,8.5,12.4,304,9.32
CM2843,302,Affiliate,2024-04-22,2024-04-16,7788.0,294904,401651,8.13,5.07,805,50.57
CM3111,306,Brand Awareness,2024-09-22,2024-09-19,8642.0,436456,626681,3.02,9.03,237,35.6
CM1991,295,Product Launch,2024-07-31,2024-07-25,4400.0,88193,228683,1.12,12.49,86,41.33
CM319,211,Affiliate,2024-11-22,2024-11-15,1327.0,660459,704509,8.16,3.02,162,46.09
CM257,339,Affiliate,2024-07-23,2024-08-04,5816.0,34580,196522,1.57,10.03,770,52.11
CM3451,341,Product Launch,2024-07-26,2024-08-12,8787.0,876900,917605,3.14,14.61,627,6.19
CM818,292,Product Launch,2024-05-25,2024-06-10,3844.0,542055,555576,0.72,2.57,469,55.98
CM1064,172,Brand Awareness,2024-06-23,2024-06-19,4427.0,781143,869676,7.66,0.97,451,1.31
CM4111,305,Product Launch,2024-06-28,2024-07-08,6755.0,563505,660128,2.04,3.24,995,49.19
CM279,313,Affiliate,2024-09-29,2024-10-14,7616.0,671756,870186,5.89,3.68,206,9.77
CM3368,241,Product Launch,2024-06-08,2024-06-08,3840.0,410421,498060,,6.48,320,-5.06
CM3524,291,Affiliate,2024-10-05,2024-10-16,4837.0,944155,1095020,9.25,11.54,173,-9.41
CM4194,258,Affiliate,2024-11-11,2024-11-04,7810.0,941476,1078855,7.47,2.61,616,
CM2286,329,Product Launch,2024-06-17,2024-06-17,,627305,636479,6.2,13.34,606,39.95
CM2518,339,Affiliate,2024-01-13,2024-01-03,2654.0,288933,329701,3.38,12.68,606,2.43
CM4784,249,Product Launch,2024-11-26,2024-11-23,3788.0,851086,1026209,4.58,14.84,529,56.18
CM597,338,Giveaway,2024-09-23,2024-09-25,5376.0,5476,35230,3.26,10.54,378,-1.61
CM1826,236,Brand Awareness,2024-04-01,2024-03-29,3762.0,995293,1095502,1.52,5.96,227,9.76
CM1760,203,Product Launch,2024-01-12,2024-01-18,6845.0,655274,688675,2.65,14.32,642,2.89
CM2997,299,Affiliate,2024-03-20,2024-03-23,4974.0,127283,279994,1.72,2.34,90,43.61
CM1847,297,Giveaway,2024-04-27,2024-05-04,2762.0,262085,278094,2.23,10.99,33,26.06
CM2942,343,Product Launch,2024-01-02,2024-01-04,6782.0,815419,901117,3.29,4.45,280,27.08
CM4520,163,Brand Awareness,2024-10-26,2024-10-23,6409.0,258583,357074,5.8,14.79,482,6.1
CM4128,157,Product Launch,2024-04-22,2024-04-22,4441.0,820988,870432,5.21,3.52,103,27.28
CM1102,263,Product Launch,2024-02-29,2024-03-14,5962.0,982041,985607,7.8,10.86,833,41.75
CM129,249,Brand Awareness,2024-11-20,2024-11-22,2879.0,770867,781018,9.9,7.1,634,11.93
CM1195,172,Giveaway,2024-04-18,2024-04-29,7224.0,655465,770409,0.59,9.7,374,58.29
CM4582,172,Brand Awareness,2024-12-09,2024-12-03,6330.0,355844,481634,7.45,11.51,265,25.64
CM4363,225,Brand Awareness,2024-12-07,2024-12-23,6577.0,783842,969912,9.34,12.23,68,12.29
CM4010,344,Affiliate,2024-01-21,2024-01-14,6695.0,765743,783803,5.05,3.52,443,36.28
CM2045,320,Brand Awareness,2024-03-31,2024-04-10,1388.0,204379,293939,1.63,8.06,985,27.74
CM4244,157,Product Launch,2024-09-27,2024-09-23,8692.0,566992,568170,6.2,8.72,418,19.72
CM2801,313,Product Launch,2024-11-29,2024-11-24,2922.0,135400,267430,8.28,14.69,115,40.49
CM4274,204,Brand Awareness,2024-10-06,2024-09-26,1009.0,54948,85600,7.81,7.73,785,56.02
CM1797,163,Product Launch,2024-07-21,2024-08-03,3630.0,262536,453564,2.09,1.67,762,34.65
CM4749,157,Giveaway,2024-08-29,2024-09-05,7474.0,339144,348280,,14.33,26,9.53
CM638,295,Product Launch,2024-03-20,2024-03-16,4365.0,427904,512466,,0.2,476,34.45
CM4863,271,Affiliate,2024-07-04,2024-06-24,,498502,663565,2.61,8.42,170,26.35
CM3921,258,Affiliate,2024-06-06,2024-06-10,5671.0,798364,840028,4.27,8.8,934,10.44
CM4631,163,Affiliate,2024-06-20,2024-06-17,6800.0,216928,260780,9.76,14.11,352,39.99
CM4918,279,Product Launch,2024-12-18,2024-12-25,4618.0,16213,77812,0.76,10.64,845,1.68
CM3113,330,Product Launch,2024-08-19,2024-08-17,1995.0,215521,219609,0.67,13.02,550,30.7
CM3102,247,Giveaway,2024-01-21,2024-01-27,5980.0,752964,811371,6.79,7.34,239,-9.08
CM686,341,Affiliate,2024-01-02,2024-01-18,4774.0,701534,858412,,13.19,284,17.35
CM251,305,Brand Awareness,2024-01-17,2024-01-26,606.0,486705,648185,3.38,10.04,453,-7.89
CM821,245,Brand Awareness,2024-04-13,2024-05-02,6901.0,85244,209764,1.37,8.01,116,31.31
CM4357,340,Giveaway,2024-10-27,2024-10-20,998.0,615822,813432,7.55,12.47,61,
CM4929,163,Giveaway,2024-08-23,2024-09-02,,152265,306262,4.96,8.19,500,44.68
CM2032,292,Product Launch,2024-02-11,2024-02-13,8051.0,161059,295194,9.53,2.19,101,
CM3457,327,Product Launch,2024-11-28,2024-12-06,6709.0,128558,212408,1.53,12.07,627,8.17
CM4584,256,Product Launch,2024-08-30,2024-09-12,541.0,130079,284976,5.93,12.57,503,4.52
CM2380,163,Giveaway,2024-04-11,2024-04-08,,525645,675057,7.51,3.3,339,41.31
CM180,338,Affiliate,2024-06-27,2024-06-30,8715.0,359486,384690,9.97,10.84,906,51.42
CM4931,250,Affiliate,2024-11-27,2024-12-10,8534.0,658784,690777,8.0,14.3,836,11.87
CM3592,344,Brand Awareness,2024-04-28,2024-04-19,,607692,653744,6.93,9.76,537,39.28
CM1274,322,Giveaway,2024-12-18,2024-12-29,629.0,305114,452832,1.4,15.0,849,43.45
CM977,172,Brand Awareness,2024-08-19,2024-08-24,5503.0,632377,708422,5.42,0.48,474,6.26
CM591,320,Product Launch,2024-01-16,2024-01-21,1999.0,871912,1003971,,3.18,919,17.14
CM339,218,Giveaway,2024-02-14,2024-02-06,8004.0,597658,627491,8.26,3.9,565,2.9
CM4827,297,Affiliate,2024-11-11,2024-11-16,9889.0,777106,884942,5.12,3.91,438,32.82
CM2310,258,Brand Awareness,2024-11-25,2024-12-03,2549.0,775393,877385,1.62,5.51,830,58.93
CM2756,291,Brand Awareness,2024-07-29,2024-07-21,6565.0,375261,386164,6.11,9.87,183,12.4
CM2598,249,Product Launch,2024-11-23,2024-12-06,6374.0,832579,905668,8.03,10.32,275,52.15
CM4340,268,Product Launch,2024-09-11,2024-09-21,8638.0,558776,609142,9.83,9.93,287,13.51
CM4365,302,Brand Awareness,2024-01-05,2023-12-28,9792.0,898339,1081942,7.54,5.46,44,27.49
CM2539,345,Brand Awareness,2024-04-14,2024-04-26,6281.0,218912,298567,9.17,9.97,681,45.22
CM912,305,Product Launch,2024-07-31,2024-08-03,8473.0,486864,562038,5.06,0.92,797,-1.35
CM2200,157,Affiliate,2024-03-21,2024-04-07,4386.0,526899,651455,3.4,11.77,670,11.14
CM268,324,Giveaway,2024-11-05,2024-11-12,3891.0,362116,408974,6.17,5.97,86,32.05
CM3074,137,Affiliate,2024-04-16,2024-04-17,572.0,362523,388563,,3.14,824,22.39
CM1283,225,Affiliate,2024-07-24,2024-08-05,1223.0,385287,432844,7.9,4.59,361,-2.4
CM3234,321,Affiliate,2024-03-27,2024-03-30,4043.0,403885,550090,6.75,3.42,405,46.47
CM4259,342,Affiliate,2024-09-09,2024-09-15,5194.0,119724,152794,0.5,3.72,117,1.4
CM5015,292,Product Launch,2024-04-29,2024-04-23,1731.0,197398,368674,1.01,3.25,168,20.78
CM473,334,Brand Awareness,2024-09-13,2024-09-15,1269.0,731158,902510,3.6,5.91,693,15.7
CM4213,341,Brand Awareness,2024-07-20,2024-07-28,1597.0,935112,1013093,4.24,2.51,186,-5.6
CM2826,260,Product Launch,2024-09-29,2024-10-02,2895.0,924661,1026012,7.39,2.9,557,4.98
CM1747,341,Product Launch,2024-01-24,2024-02-02,9103.0,84521,132330,6.01,5.04,514,41.49
CM1094,273,Brand Awareness,2024-06-17,2024-06-30,2378.0,751959,820678,1.22,14.01,960,56.81
CM1331,342,Product Launch,2024-05-15,2024-05-17,3255.0,93154,185625,9.42,12.89,214,18.52
CM4336,348,Brand Awareness,2024-03-01,2024-03-08,1577.0,702040,870828,5.62,4.44,277,13.48
CM2215,163,Giveaway,2024-10-07,2024-10-11,5984.0,174595,309571,3.35,9.67,710,0.52
CM2321,172,Giveaway,2024-06-17,2024-07-06,2410.0,651475,824512,8.96,12.02,628,4.89
CM2878,348,Affiliate,2024-09-05,2024-09-07,704.0,744417,846304,,3.85,701,3.79
CM910,322,Product Launch,2024-03-29,2024-04-15,5863.0,35341,48609,9.84,5.21,280,1.24
CM770,263,Affiliate,2024-03-08,2024-03-01,5150.0,193863,208880,5.15,2.32,724,44.67
CM1315,348,Brand Awareness,2024-11-27,2024-12-12,4521.0,389826,493243,9.41,10.1,651,-0.13
CM928,256,Product Launch,2024-11-21,2024-12-09,9782.0,778426,872944,2.19,3.35,913,6.12
CM299,337,Product Launch,2024-04-12,2024-04-26,7851.0,432003,575435,2.55,2.72,766,0.87
CM4982,296,Brand Awareness,2024-11-23,2024-11-26,7148.0,53034,191850,8.72,14.23,247,25.31
